Wall time,Step,Value
1609279133.2638094,5,0.09999930113554001
1609279145.3562546,6,0.09999898821115494
1609279205.4627783,11,0.09999661147594452
1609279239.9176693,14,0.09999451041221619
1609279253.1879709,15,0.09999369829893112
1609279289.2081866,18,0.09999092668294907
1609279300.8890028,19,0.0999898910522461
1609279311.9747872,20,0.09998879581689835
1609279357.952796,24,0.09998386353254318
1609279495.855513,36,0.0999637022614479
1609279543.2043386,40,0.09995519369840622
1609279566.156215,42,0.09995059669017792
1609279589.1185634,44,0.0999457836151123
1609279601.3593855,45,0.09994328767061234
1609279624.4147542,47,0.09993813931941986
1609279694.0490704,53,0.0999213382601738
1609279705.5701025,54,0.09991834312677383
1609279716.8364954,55,0.09991529583930969
1609279729.332421,56,0.09991218894720078
1609279740.5020406,57,0.09990902245044708
1609279839.581689,65,0.09988170117139816
1609279874.6492546,68,0.09987054020166397
1609279910.0024893,71,0.09985886514186859
1609279923.605454,72,0.09985486418008804
1609279935.6174858,73,0.09985081106424332
1609279947.2978334,74,0.09984669834375381
1609280011.7217555,79,0.09982529282569885
1609280105.3413548,87,0.09978814423084259
1609280118.0953436,88,0.09978324919939041
1609280195.6657848,94,0.09975270926952362
1609280288.5579925,102,0.09970887005329132
1609280327.0508049,105,0.09969151020050049
1609280341.2412503,106,0.09968560934066772
1609280422.9369998,113,0.09964276850223541
1609280462.5055995,116,0.09962356835603714
1609280485.0099642,118,0.09961050003767014
1609280575.6538591,126,0.09955597668886185
1609280608.823273,129,0.09953460842370987
1609280622.0508356,130,0.09952738136053085
1609280732.70902,139,0.09945979714393616
1609280755.5542955,141,0.09944416582584381
1609280767.482342,142,0.09943626821041107
1609280777.6846554,143,0.09942831844091415
1609280855.2254515,150,0.09937109798192978
1609280912.3224752,155,0.09932857006788254
1609280935.63188,157,0.09931117296218872
1609280949.0742462,158,0.09930238872766495
1609280992.333722,162,0.09926670789718628
1609281054.2548666,167,0.09922086447477341
1609281066.4895747,168,0.09921152889728546
1609281100.4883773,171,0.09918319433927536
1609281170.5241246,177,0.09912504255771637
1609281182.1755927,178,0.09911515563726425
1609281203.362303,180,0.09909521788358688
1609281238.0693235,183,0.099064901471138
1609281261.2953982,185,0.09904441982507706
1609281273.7202275,186,0.09903409332036972
1609281297.7536511,188,0.09901327639818192
1609281321.8219223,190,0.0989922434091568
1609281334.3797164,191,0.09898164868354797
1609281414.2465467,198,0.09890591353178024
1609281513.3694625,206,0.09881607443094254
1609281524.1124847,207,0.09880459308624268
1609281536.4570942,208,0.09879306703805923
1609281582.190557,212,0.0987463966012001
1609281706.290136,222,0.09862589836120605
1609281718.1022418,223,0.09861355274915695
1609281741.8956282,225,0.09858869016170502
1609281787.122872,229,0.09853830933570862
1609281824.0130794,232,0.09849995374679565
1609281839.3033557,233,0.09848706424236298
1609281850.5321202,234,0.09847411513328552
1609281887.5535417,237,0.0984349474310875
1609282037.109667,249,0.0982733890414238
1609282107.7939575,255,0.09818968176841736
1609282141.127487,258,0.09814710915088654
1609282165.9568388,260,0.09811844676733017
1609282176.281903,261,0.09810403734445572
1609282201.3001325,263,0.09807506203651428
1609282244.9962204,267,0.09801645576953888
1609282293.1873076,271,0.09795699268579483
1609282318.939514,273,0.09792693704366684
1609282382.2730522,278,0.09785085916519165
1609282563.8808024,292,0.09763071686029434
1609282622.8705478,297,0.09754955023527145
1609282639.5345144,298,0.09753315895795822
1609282687.096509,302,0.09746706485748291
1609282698.5820017,303,0.09745040535926819
1609282748.1728196,307,0.09738323837518692
1609282759.0687432,308,0.0973663181066513
1609282783.3523688,310,0.09733231365680695
1609282815.709975,313,0.09728090465068817
1609282877.2699206,318,0.09719416499137878
1609282890.4848964,319,0.09717666357755661
1609282903.5507884,320,0.09715910255908966
1609282957.796007,325,0.09707051515579224
1609282969.6447027,326,0.09705264121294022
1609282980.9118721,327,0.09703470766544342
1609283023.292677,330,0.09698060899972916
1609283124.0015025,339,0.09681545943021774
1609283145.7490964,341,0.09677818417549133
1609283214.5418704,347,0.09666509926319122
1609283280.36508,353,0.09655012935400009
1609283292.085766,354,0.09653078764677048
1609283358.8044283,360,0.09641362726688385
1609283392.547115,363,0.09635434299707413
1609283439.1139183,367,0.09627457708120346
1609284603.8396592,371,0.09619397670030594
1609284623.601402,373,0.0961533635854721
1609284665.6699703,377,0.0960715264081955
1609284676.0672314,378,0.0960509404540062
1609284685.2395914,379,0.09603029489517212
1609284704.0175762,381,0.09598886221647263
1609284759.6625104,386,0.09588436782360077
1609284808.2529593,391,0.09577859193086624
1609284817.2925143,392,0.09575728327035904
1609284826.7604432,393,0.09573592245578766
1609284965.4911573,408,0.09540937095880508
1609285031.1916747,415,0.09525306522846222
1609285094.8147316,421,0.09511710703372955
1609285106.7365332,422,0.09509427100419998
1609285133.8169131,424,0.0950484424829483
1609285157.4819107,426,0.09500241279602051
1609285206.1824653,430,0.09490975737571716
1609285314.2347076,439,0.09469833225011826
1609285338.184888,441,0.09465079754590988
1609285351.1642241,442,0.09462695568799973
1609285392.4895706,445,0.09455513209104538
1609285460.6618903,451,0.09441012889146805
1609285554.6226614,459,0.09421400725841522
1609285567.4135995,460,0.09418927133083344
1609285600.7804925,463,0.0941147580742836
1609285610.713534,464,0.0940898209810257
1609285718.7633636,473,0.09386318176984787
1609285730.5823278,474,0.09383775293827057
1609285863.6485877,485,0.09355480223894119
1609285901.204714,488,0.09347660839557648
1609285915.5021868,489,0.09345044195652008
1609285939.0347412,491,0.09339797496795654
1609285965.6451368,493,0.09334530681371689
1609286144.8974125,507,0.09297122061252594
1609286207.21064,512,0.09283532947301865
1609286231.8908708,514,0.09278063476085663
1609286271.22793,517,0.09269823879003525
1609286297.5909662,519,0.09264306724071503
1609286357.4769933,524,0.09250430017709732
1609286370.4392102,525,0.09247640520334244
1609286449.8119102,531,0.09230802953243256
1609286478.7406735,533,0.09225152432918549
1609286490.145348,534,0.09222319722175598
1609286511.17738,536,0.09216640889644623
1609286522.7817464,537,0.09213794767856598
1609286561.5034325,540,0.09205226600170135
1609286585.1694489,542,0.09199491143226624
1609286651.179939,547,0.09185070544481277
1609286663.296594,548,0.09182172268629074
1609286769.468612,557,0.0915587767958641
1609286792.80348,559,0.09149982780218124
1609286839.3161077,563,0.09138137847185135
1609286850.0849097,564,0.09135165065526962
1609286862.338259,565,0.09132187068462372
1609286908.3659687,569,0.09120231121778488
1609286955.9392724,573,0.09108201414346695
1609286967.4197679,574,0.09105182439088821
1609287007.5850277,577,0.09096097201108932
1609287030.3551626,579,0.09090018272399902
1609287040.764221,580,0.0908697172999382
1609287052.8728194,581,0.0908392071723938
1609287063.1713157,582,0.09080864489078522
1609287075.3223727,583,0.09077804535627365
1609287086.9613538,584,0.0907473936676979
1609287110.0628357,586,0.09068596363067627
1609287122.594895,587,0.09065517783164978
1609287184.9896126,592,0.09050056338310242
1609287197.827867,593,0.09046950936317444
