Wall time,Step,Value
1609416157.8762887,42,0.09999989718198776
1609416171.4397905,45,0.09999987483024597
1609416380.469384,94,0.09999946504831314
1609416688.2654808,167,0.09999831765890121
1609416936.179486,229,0.09999684244394302
1609416955.1480143,234,0.09999670088291168
1609417040.6384323,255,0.09999608248472214
1609417113.0934658,273,0.09999550879001617
1609417249.3738863,308,0.09999428689479828
1609417258.9988503,310,0.09999421238899231
1609417290.9525719,318,0.09999390691518784
1609417934.9455087,474,0.0999864712357521
1609418205.7175753,536,0.09998270124197006
1609418388.0327256,579,0.09997981041669846
1609418417.5460749,586,0.09997931867837906
1609418620.5679052,634,0.09997579455375671
1609418675.8868082,647,0.09997479617595673
1609418942.028179,714,0.0999693050980568
1609418972.6797981,722,0.09996861219406128
1609419292.3854449,802,0.09996127337217331
1609419316.1716976,808,0.09996069222688675
1609419421.9169312,836,0.0999579206109047
1609420156.9058828,1014,0.09993809461593628
1609420375.6776946,1066,0.09993158280849457
1609420536.6606781,1104,0.09992662072181702
1609420851.776614,1180,0.09991617500782013
1609421174.1183066,1261,0.09990427643060684
1609421387.5792181,1316,0.09989574551582336
1609421398.556585,1319,0.09989526867866516
1609421453.2616577,1333,0.09989303350448608
1609421467.675063,1337,0.09989239275455475
1609421654.8165908,1385,0.0998845249414444
1609421683.1308258,1392,0.09988335520029068
1609421861.221098,1436,0.09987586736679077
1609422358.6530325,1552,0.09985501319169998
1609422493.2669756,1584,0.09984897822141647
1609422941.4866948,1691,0.09982790052890778
1609423110.6867537,1734,0.09981904178857803
1609423123.4808254,1737,0.09981841593980789
1609423541.819902,1844,0.0997953712940216
1609423671.1415887,1877,0.09978798776865005
1609423826.5906565,1917,0.09977886080741882
1609423952.4081159,1947,0.0997718870639801
1609424340.6792498,2036,0.0997505784034729
1609424592.0169926,2096,0.09973566979169846
1609425024.6571846,2199,0.09970907866954803
1609425272.6451635,2262,0.09969218820333481
1609425451.6805985,2307,0.09967983514070511
1609425782.8415759,2389,0.09965669363737106
1609425974.3359225,2436,0.09964307397603989
1609426048.3090765,2453,0.09963807463645935
1609426056.2217252,2455,0.0996374860405922
1609426078.1398478,2460,0.099636010825634
1609426185.1160324,2485,0.09962858259677887
1609426189.176077,2486,0.09962828457355499
1609426241.2028341,2498,0.09962469339370728
1609426265.7894063,2503,0.0996231958270073
1609426383.7408075,2532,0.09961441904306412
1609427033.7172377,2685,0.09956648200750351
1609427253.242539,2740,0.0995485708117485
1609428181.0048108,2967,0.09947080910205841
1609428495.275153,3038,0.09944523125886917
1609428507.8231812,3041,0.09944413602352142
1609429024.929761,3161,0.09939948469400406
1609429312.750841,3230,0.09937304258346558
1609429378.1696882,3246,0.09936682879924774
1609429381.9950109,3247,0.0993664413690567
