Wall time,Step,Value
1609416157.8762295,42,1.5877294540405273
1609416171.4397347,45,1.2420580387115479
1609416380.4693272,94,1.3929041624069214
1609416688.2654197,167,1.3979347944259644
1609416936.1794248,229,1.3973737955093384
1609416955.1479561,234,1.4469259977340698
1609417040.638373,255,1.4742621183395386
1609417113.0934126,273,1.4208401441574097
1609417249.3738253,308,1.3934787511825562
1609417258.9987843,310,1.4586089849472046
1609417290.9525125,318,1.4196507930755615
1609417934.9454434,474,1.3889868259429932
1609418205.7175148,536,1.4278749227523804
1609418388.032667,579,1.3656859397888184
1609418417.5460198,586,1.3537936210632324
1609418620.567841,634,1.3842706680297852
1609418675.886751,647,1.426576852798462
1609418942.0281167,714,1.3874067068099976
1609418972.6797369,722,1.4030131101608276
1609419292.3853624,802,1.387047290802002
1609419316.1716373,808,1.418729543685913
1609419421.9168787,836,1.3900938034057617
1609420156.9058204,1014,1.3669031858444214
1609420375.677627,1066,1.4115939140319824
1609420536.660627,1104,1.391750454902649
1609420851.776557,1180,1.4086037874221802
1609421174.1182444,1261,1.4072437286376953
1609421387.57917,1316,1.322672963142395
1609421398.55652,1319,1.4088964462280273
1609421453.2615964,1333,1.3639726638793945
1609421467.6750057,1337,1.398978590965271
1609421654.8165312,1385,1.3923228979110718
1609421683.1307647,1392,1.3718321323394775
1609421861.2210107,1436,1.400564432144165
1609422358.6529632,1552,1.383922815322876
1609422493.2669117,1584,1.3772848844528198
1609422941.486628,1691,1.3509292602539062
1609423110.6866965,1734,1.4252650737762451
1609423123.4807596,1737,1.402761459350586
1609423541.8198383,1844,1.3960334062576294
1609423671.141522,1877,1.4144505262374878
1609423826.5905948,1917,1.4013147354125977
1609423952.4080567,1947,1.2585623264312744
1609424340.6791832,2036,1.409128189086914
1609424592.016915,2096,1.342270851135254
1609425024.657133,2199,1.3751102685928345
1609425272.6451025,2262,1.3759630918502808
1609425451.680536,2307,1.3675092458724976
1609425782.8415139,2389,1.3884143829345703
1609425974.3358688,2436,1.4063804149627686
1609426048.3089874,2453,1.3236054182052612
1609426056.2216575,2455,1.424464464187622
1609426078.1397908,2460,1.4092341661453247
1609426185.1159678,2485,1.3821269273757935
1609426189.1760123,2486,1.3864599466323853
1609426241.2027738,2498,1.4292277097702026
1609426265.7893367,2503,1.3825268745422363
1609426383.7407444,2532,1.3917310237884521
1609427033.7171786,2685,1.3899229764938354
1609427253.2424734,2740,1.3827868700027466
1609428181.0047555,2967,1.3677746057510376
1609428495.275095,3038,1.4131755828857422
1609428507.8231199,3041,1.408078908920288
1609429024.9297004,3161,1.3745193481445312
1609429312.7507818,3230,1.3928018808364868
1609429378.1696265,3246,1.4317628145217896
1609429381.9949446,3247,1.38433837890625
1609429637.4814231,3305,1.201763391494751
1609430403.2438052,3480,1.3951619863510132
1609431032.718399,3618,1.3993183374404907
1609431042.5429735,3620,1.402409553527832
1609431267.2875621,3670,1.3962730169296265
1609431562.6611977,3741,1.3729562759399414
1609431860.2558436,3814,1.4066768884658813
1609431889.1509113,3821,1.382179617881775
1609432326.2298653,3928,1.302419900894165
1609432444.0459297,3956,1.4524277448654175
1609432786.7052119,4036,1.3702147006988525
1609433050.8619142,4098,1.376725196838379
1609433470.3460975,4196,1.4500466585159302
1609433615.1173277,4232,1.381412148475647
1609433965.0653265,4317,1.4024187326431274
1609434303.5408154,4400,1.4013347625732422
1609434695.7466612,4492,1.4452852010726929
1609434770.9408736,4509,1.4088088274002075
1609435441.5092955,4664,1.356076955795288
1609435460.0625186,4668,1.3858330249786377
1609435494.1650143,4676,1.3546557426452637
1609435943.5302505,4788,1.4037879705429077
1609435997.8779438,4802,1.381822109222412
1609436149.5689325,4840,1.3576165437698364
1609436363.2143273,4894,1.3744512796401978
1609436678.0184371,4971,1.3384946584701538
1609437260.7404666,5106,1.3689435720443726
1609437380.3068936,5134,1.3620219230651855
1609438247.6408012,5345,1.367810606956482
1609438301.8912172,5359,1.4364264011383057
1609438547.856345,5420,1.3712929487228394
1609439097.160303,5549,1.3996241092681885
1609439669.1317275,5679,1.3888484239578247
1609439853.3418477,5723,1.3105417490005493
1609440199.7188246,5808,1.3465781211853027
1609440427.8856542,5864,1.3997299671173096
1609440455.0943081,5871,1.3740882873535156
1609440601.4065154,5907,1.3572256565093994
1609440951.8960924,5990,1.3955378532409668
1609441858.8449967,6200,1.39910888671875
1609441933.5344763,6219,1.3570880889892578
1609442217.1737325,6289,1.349915623664856
1609442564.320418,6376,1.374048113822937
1609444161.931589,6520,1.3002581596374512
1609444386.8702073,6574,1.347427248954773
1609444503.0164957,6603,1.347636342048645
1609444890.470734,6699,1.364988088607788
1609444942.5209992,6711,1.4001426696777344
1609445557.346744,6854,1.3006341457366943
1609446035.7712197,6966,1.3400039672851562
1609446627.4262664,7114,1.4365811347961426
1609446795.2757943,7155,1.4036378860473633
1609447446.1784315,7311,1.4072977304458618
1609447749.8384984,7382,1.3560506105422974
1609448084.0947495,7460,1.3846890926361084
1609448096.0488427,7463,1.3148161172866821
1609448158.6092827,7478,1.3245283365249634
1609448295.325941,7511,1.314513087272644
1609449434.244923,7788,1.3967742919921875
1609449475.9951572,7798,1.423128366470337
1609449623.6427486,7833,1.3753032684326172
1609450308.92517,7991,1.3515818119049072
1609450614.686429,8066,1.3749244213104248
1609451083.6470096,8180,1.411839485168457
1609451256.7354524,8221,1.406535267829895
1609451895.5176125,8363,1.3503305912017822
1609451920.258751,8368,1.3523820638656616
1609451958.8730886,8377,1.3856847286224365
1609452472.5170913,8498,1.4154462814331055
1609452512.3645363,8508,1.3947243690490723
1609452894.2826064,8601,1.3674219846725464
1609453033.6502926,8635,1.349759817123413
1609454087.6316464,8878,1.2892733812332153
1609454213.8222091,8907,1.367429494857788
1609454300.9820974,8928,1.394977331161499
1609454328.7461245,8935,1.4011181592941284
1609454568.8866081,8993,1.349275827407837
1609455666.5524414,9260,1.4370522499084473
1609455904.2837756,9316,1.3987170457839966
1609456041.4371922,9348,1.3554792404174805
1609456412.595318,9435,1.3843668699264526
1609456547.4732296,9468,1.323380470275879
1609456885.1965404,9554,1.4088659286499023
1609456939.498054,9567,1.3355458974838257
1609457304.5010173,9657,1.2938508987426758
1609457399.1243436,9680,1.4209336042404175
1609457471.1017592,9698,1.3252785205841064
1609458085.6583135,9843,1.4073723554611206
1609458359.7802315,9907,1.3202108144760132
1609459075.1634858,10084,1.3212836980819702
1609459863.1556807,10276,1.351798415184021
1609459894.241557,10283,1.3213417530059814
1609460395.1152828,10399,1.3765736818313599
1609460720.1228862,10479,1.3977866172790527
1609460893.1647182,10522,1.4064043760299683
1609461233.7960021,10607,1.2981828451156616
1609461354.1331663,10638,1.3819079399108887
1609461415.8337615,10654,1.4321767091751099
1609461655.1985888,10711,1.3493866920471191
1609461850.7508357,10757,1.3626952171325684
1609461855.4740562,10758,1.3257039785385132
1609461947.7691257,10780,1.3740768432617188
1609462209.938815,10841,1.3819297552108765
1609462247.0907097,10850,1.4103137254714966
1609462468.2851877,10902,1.28900146484375
1609462479.3510618,10905,1.403201699256897
1609462634.9408157,10943,1.501821756362915
1609462727.845558,10966,1.3099377155303955
1609462760.5211222,10974,1.4377806186676025
1609462946.849278,11020,1.398954153060913
1609463275.566931,11102,1.3380519151687622
1609463351.542576,11121,1.4013339281082153
1609463675.4522765,11198,1.2828987836837769
1609464627.1322289,11419,1.3860117197036743
1609464841.3307683,11472,1.3440574407577515
1609464920.6095138,11492,1.3850085735321045
1609465046.299441,11523,1.3570959568023682
1609465084.186194,11532,1.3385264873504639
1609465217.1851063,11566,1.398714542388916
1609465544.9041538,11648,1.4055942296981812
1609465695.4884593,11685,1.3298368453979492
1609466019.045822,11759,1.3677068948745728
1609466503.4245243,11873,1.4205083847045898
1609466876.802929,11969,1.343403935432434
1609466895.4487803,11974,1.324699878692627
1609467033.700052,12010,1.4593279361724854
1609467514.340155,12138,1.4762299060821533
1609467612.9764137,12164,1.289849877357483
1609467687.5429757,12184,1.4285999536514282
1609468124.851339,12290,1.1627795696258545
1609468620.6582577,12405,1.3606253862380981
1609468848.6376421,12458,1.3788256645202637
1609469718.2501974,12671,1.459861397743225
1609471590.6496096,12877,1.3795245885849
1609471846.8676484,12939,1.3011690378189087
1609472183.5684395,13017,1.2936921119689941
1609472257.1805656,13034,1.2235978841781616
1609472372.9409807,13061,1.3102730512619019
1609472464.6774359,13082,1.3207519054412842
1609472515.6961932,13094,1.3613437414169312
1609472579.8748844,13109,1.4178617000579834
1609473108.0737512,13239,1.3587353229522705
1609473737.958097,13402,1.2171183824539185
1609473756.3066638,13406,1.4253551959991455
1609474161.669243,13504,1.3389334678649902
1609474334.719859,13546,1.3646265268325806
1609474553.1248581,13597,1.3739356994628906
1609474653.1891222,13620,1.3557085990905762
1609474889.9612563,13679,1.4129068851470947
1609475403.311436,13810,1.3943382501602173
1609475696.290736,13884,1.3886727094650269
1609476522.73705,14080,1.3258609771728516
1609477091.8923333,14221,1.3694509267807007
1609477350.6039867,14287,1.356337547302246
1609477379.6485178,14294,1.2518997192382812
1609477484.116819,14320,1.3690963983535767
1609477554.0172482,14338,1.1988463401794434
1609477792.5954697,14397,1.421347737312317
1609478002.5708106,14447,1.3868253231048584
1609478788.5659094,14632,1.294240117073059
1609478813.3397052,14638,1.3478087186813354
1609478929.6471148,14668,1.355928659439087
1609478965.9747581,14677,1.2749714851379395
1609479005.694439,14687,1.3706774711608887
1609479366.5780823,14779,1.4123960733413696
1609479403.3782053,14788,1.3341221809387207
1609479490.819935,14809,1.3414192199707031
1609479741.6298509,14873,1.2200720310211182
1609479818.711893,14892,1.2566970586776733
1609480653.3757398,15090,1.3294026851654053
1609481018.5203965,15180,1.2322055101394653
1609481358.910165,15266,1.374319314956665
1609481589.5965447,15324,1.2925515174865723
1609482203.8508933,15473,1.3868886232376099
1609482211.886855,15475,1.3069568872451782
1609482348.5166788,15507,1.3018426895141602
1609482477.5535831,15538,1.2981946468353271
1609483294.7679822,15740,1.2233119010925293
1609483388.857587,15764,1.3485865592956543
1609483638.7495463,15828,1.3035691976547241
1609484320.4492269,15993,1.3436870574951172
1609484746.7587788,16095,1.316041111946106
1609484828.4653041,16116,1.3173434734344482
1609485340.6169996,16249,1.2563517093658447
1609485619.0641613,16321,1.2097300291061401
1609485703.0040753,16343,1.2461163997650146
1609485772.937543,16360,1.4371861219406128
1609485970.2898288,16406,1.3235819339752197
1609486385.551391,16505,1.4435639381408691
1609487166.943269,16697,1.3989509344100952
1609487608.9599288,16809,1.3202674388885498
1609487800.9956877,16857,1.3735522031784058
1609487976.7521033,16899,1.3931944370269775
1609488689.418909,17066,1.2301656007766724
1609488819.0440147,17097,1.2415401935577393
1609489377.917756,17239,1.3784500360488892
1609489505.5276499,17272,1.4424245357513428
1609489578.9308898,17292,1.3805055618286133
1609489675.9968972,17317,1.268456220626831
1609489766.785875,17339,1.4198417663574219
1609490213.7269537,17444,1.2587090730667114
1609490627.9566462,17543,1.4455865621566772
1609490689.0886674,17557,1.4137401580810547
1609490804.0490382,17586,1.3876087665557861
1609490833.8494635,17594,1.3073891401290894
1609490948.3837347,17623,1.3685119152069092
1609491338.889503,17722,1.3798460960388184
1609492287.6712172,17953,1.4081480503082275
1609492405.6432636,17981,1.3716095685958862
1609492560.8691561,18018,1.323398232460022
1609492747.175606,18065,1.3608903884887695
1609493526.5494554,18264,1.359608769416809
1609493745.299668,18318,1.3537507057189941
1609494305.5074854,18451,1.3839530944824219
1609494310.2764719,18452,1.2879365682601929
